gene_id,gene_name
1539,ASPM
1540,ZBTB41
1541,CRB1
1542,DENND1B
1543,C1orf53
1544,NEK7
1545,PTPRC
1546,MIR181A1HG
1547,LINC02789
1548,NR5A2
1549,LINC00862
1550,AC104461.1
1551,ZNF281
1552,KIF14
1553,DDX59
1554,DDX59-AS1
1555,CAMSAP2
1556,INAVA
1557,KIF21B
1558,CACNA1S
1559,TMEM9
1560,IGFN1
1561,PKP1
1562,PHLDA3
1563,CSRP1
1564,AC096677.1
1565,NAV1
1566,IPO9-AS1
1567,AL645504.1
1568,IPO9
1569,SHISA4
1570,AL513217.1
1571,LMOD1
1572,TIMM17A
1573,RNPEP
1574,ELF3-AS1
1575,ELF3
1576,GPR37L1
1577,ARL8A
1578,PTPN7
1579,UBE2T
1580,PPP1R12B
1581,SYT2
1582,KDM5B
1583,PCAT6
1584,RABIF
1585,KLHL12
1586,ADIPOR1
1587,CYB5R1
1588,TMEM183A
1589,PPFIA4
1590,ADORA1
1591,BTG2
1592,FMOD
1593,PRELP
1594,ATP2B4
1595,ZC3H11A
1596,ZBED6
1597,SNRPE
1598,AL592146.2
1599,SOX13
1600,ETNK2
1601,PLEKHA6
1602,AL606489.1
1603,PPP1R15B
1604,PIK3C2B
1605,MDM4
1606,AL512306.3
1607,LRRN2
1608,NFASC
1609,CNTN2
1610,TMEM81
1611,RBBP5
1612,DSTYK
1613,TMCC2
1614,KLHDC8A
1615,CDK18
1616,MFSD4A
