Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,182
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,183
U19_HMS,Nuclei,G-210,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,184
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,185
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,186
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,187
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.CHRNA7/SLC18A3,unassigned,unassigned,10x 3' RNA,188
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.CCKAR,unassigned,unassigned,10x 3' RNA,189
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,190
U19_HMS,Nuclei,G-153,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,191
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,192
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-Thermo.RXFP1,unassigned,unassigned,10x 3' RNA,193
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,194
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,195
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,196
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.CCKAR,unassigned,unassigned,10x 3' RNA,197
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,198
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.CCKAR,unassigned,unassigned,10x 3' RNA,199
U19_HMS,Nuclei,G-182,Unknown,Unk,Ab-LTMR.LGI2,unassigned,unassigned,10x 3' RNA,200
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,201
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CHRNA3,unassigned,unassigned,10x 3' RNA,202
U19_HMS,Nuclei,G-133,Unknown,Unk,A-PEP.CHRNA7/SLC18A3,unassigned,unassigned,10x 3' RNA,203
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,204
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,205
U19_HMS,Nuclei,G-175,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,206
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,207
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,208
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,209
U19_HMS,Nuclei,G-175,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,210
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,211
U19_HMS,Nuclei,G-210,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,212
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.EPHA3,unassigned,unassigned,10x 3' RNA,213
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,214
U19_HMS,Nuclei,G-103,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,215
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,216
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,217
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,218
U19_HMS,Nuclei,G-256,Unknown,Unk,C-PEP.TAC1/CHRNA3,unassigned,unassigned,10x 3' RNA,219
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,220
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.EPHA3,unassigned,unassigned,10x 3' RNA,221
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,222
U19_HMS,Nuclei,G-280,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,223
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,224
U19_HMS,Nuclei,,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,225
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CHRNA3,unassigned,unassigned,10x 3' RNA,226
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,227
